name_length	value	response_time	accuracy	coarse_category	fine_category	subject	
6	1	0.28853239999989455	0	person	actor	1	
8	6	0.3891492000002472	0	person	politician	1	
19	11	0.5977157999996052	1	person	writer	1	
6	29	0.7499851000002309	1	place	city	1	
16	10	0.9759150999998383	1	person	writer	1	
8	24	0.345024100000046	1	place	country	1	
17	20	0.6682608999999502	0	person	actor	1	
11	18	1.5373650999999882	0	person	actor	1	
14	21	0.6118751999993037	1	person	politician	1	
14	19	1.0041483000004519	1	person	actor	1	
23	15	0.7720160999997461	1	person	musician	1	
19	11	0.6421453000002657	1	person	writer	1	
13	37	1.3526823000001968	1	place	monument	1	
14	21	0.6256594999995286	1	person	politician	1	
13	3	0.6969951000000947	1	place	body_of_water	1	
18	22	0.5901424000003317	1	person	actor	1	
6	26	1.8146767999996882	1	place	country	1	
12	0	0.9910319999999047	1	person	politician	1	
15	14	0.7273889999996754	1	person	musician	1	
16	35	0.7625642999992124	1	place	body_of_water	1	
6	29	0.9890105000004041	1	place	city	1	
8	6	1.1575057000000015	0	person	politician	1	
9	7	0.471226900000147	0	person	writer	1	
15	32	0.5324008999996295	1	place	body_of_water	1	
8	24	0.9281854999999268	1	place	country	1	
15	17	0.699786000000131	1	person	politician	1	
13	38	1.0879746000000523	1	place	monument	1	
11	18	0.7724527000000307	1	person	actor	1	
5	2	0.40565070000047854	1	place	city	1	
13	12	1.7492572000001019	1	person	writer	1	
16	33	1.087654200000543	1	place	body_of_water	1	
15	39	0.9474196999999549	1	place	monument	1	
16	10	1.2145989999999074	1	person	writer	1	
5	9	1.5512594000001627	0	place	country	1	
8	28	2.047983999999815	1	place	city	1	
6	1	1.1511415999993915	0	person	actor	1	
7	13	1.4090647000002718	1	person	musician	1	
11	25	1.4641154000000824	1	place	country	1	
9	4	1.7897692999995343	1	place	monument	1	
4	30	0.5495946000000913	1	place	city	1	
9	5	0.38483499999983906	0	person	musician	1	
14	19	0.7212685999993482	1	person	actor	1	
10	36	0.9967114999999467	1	place	monument	1	
17	27	1.1334799999995084	1	person	politician	1	
9	16	1.16813269999966	1	person	musician	1	
17	20	1.2812946000003649	1	person	actor	1	
9	31	0.8948889000002964	1	place	city	1	
23	15	1.1320837999992364	1	person	musician	1	
4	34	0.9919047999992472	1	place	body_of_water	1	
7	23	1.3683516000000964	1	place	country	1	
12	8	0.7525681999995868	1	person	writer	1	
13	12	0.85005160000037	1	person	writer	1	
13	38	0.4319327000002886	1	place	monument	1	
9	31	0.4319212999998854	1	place	city	1	
5	9	0.3667863999999099	1	place	country	1	
16	10	0.8961256000002322	1	person	writer	1	
13	3	0.7333166999997047	1	place	body_of_water	1	
15	17	1.663806300000033	1	person	politician	1	
12	8	0.7342088999994303	1	person	writer	1	
7	13	0.7045969000000696	1	person	musician	1	
11	25	0.7244369000000006	1	place	country	1	
