name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
6	21	0.8646413999995275	1	1	1	1	
11	0	0.6723832999996375	1	-1	1	1	
15	16	0.6786543999987771	1	1	-1	1	
13	18	2.8138280999992276	1	1	1	1	
12	4	0.879798000001756	1	-1	-1	1	
14	8	5.999607599998853	1	-1	-1	1	
10	11	0.7210315000011178	1	1	-1	1	
15	15	1.2548712999996496	1	1	-1	1	
14	13	1.159188900001027	1	1	-1	1	
10	20	1.2270033999993757	1	1	1	1	
14	13	1.2306387999997241	1	1	-1	1	
16	17	0.7523977000018931	1	1	-1	1	
13	29	0.8197735000030661	1	-1	1	1	
12	4	0.6608484999997017	1	-1	-1	1	
10	20	1.4211398000006739	1	1	1	1	
13	3	0.9662998999992851	1	-1	-1	1	
7	9	1.0264325000025565	1	1	-1	1	
13	18	0.828178100000514	1	1	1	1	
10	11	1.1019162999982655	1	1	-1	1	
20	22	0.9795185000002675	1	1	1	1	
12	28	1.4699390000023413	1	-1	1	1	
15	2	0.6929936000015005	1	-1	-1	1	
15	19	0.7637285999990127	1	1	1	1	
6	21	1.087497299999086	1	1	1	1	
15	23	0.7266528999971342	1	1	1	1	
16	27	0.7484500999999	1	-1	1	1	
15	5	0.6569233000009262	1	-1	-1	1	
17	31	0.9213916000007885	1	-1	1	1	
8	12	5.543080600000394	1	1	-1	1	
15	16	0.748217600001226	1	1	-1	1	
17	30	0.8006232999978238	1	-1	1	1	
15	25	0.7071106000003056	1	-1	1	1	
19	14	1.5287675999970816	1	1	-1	1	
14	6	0.7170460000015737	1	-1	-1	1	
12	1	0.7863945999997668	1	-1	-1	1	
13	10	0.6615784000023268	1	1	1	1	
18	26	0.6207821999996668	1	-1	1	1	
18	7	0.9499992999990354	1	-1	-1	1	
15	15	0.7861849000000802	1	1	-1	1	
14	8	0.7887510000000475	1	-1	-1	1	
11	0	0.7278685000019323	1	-1	1	1	
4	24	0.8295768999996653	1	1	1	1	
13	10	0.805285599999479	1	1	1	1	
4	24	0.9360263000016857	1	1	1	1	
14	6	1.045185599999968	1	-1	-1	1	
15	25	0.6048199999968347	1	-1	1	1	
12	4	1.3191385999998602	1	-1	-1	1	
16	17	1.172487000003457	1	1	-1	1	
17	30	1.7520763000029547	1	-1	1	1	
15	23	1.1232550999993691	1	1	1	1	
15	5	2.0882786000001943	1	-1	-1	1	
7	9	1.7181124000017007	1	1	-1	1	
6	21	0.8190787000021373	1	1	1	1	
14	8	0.7561789999999746	1	-1	-1	1	
17	31	0.7123332999981358	1	-1	1	1	
14	13	0.8467753999975685	1	1	-1	1	
19	14	5.039873699999589	1	1	-1	1	
18	26	5.126720700001897	1	-1	1	1	
11	0	0.876341200000752	1	-1	1	1	
15	2	0.7632349000014074	1	-1	-1	1	
12	28	1.6799298000005365	1	-1	1	1	
15	19	1.0557126000021526	1	1	1	1	
15	16	2.0872503999999026	1	1	-1	1	
13	18	1.3017971000008401	1	1	1	1	
13	3	1.0601893999992171	1	-1	-1	1	
8	12	0.9087718000009772	1	1	-1	1	
13	29	0.7153248000031454	1	-1	1	1	
10	20	1.1858141000011528	1	1	1	1	
10	11	0.7402010000005248	1	1	-1	1	
12	1	1.6560468999996374	1	-1	-1	1	
15	15	0.7435307000014291	1	1	-1	1	
16	27	0.7647305999998935	1	-1	1	1	
20	22	2.4173811999971804	1	1	1	1	
18	7	3.4742405000033614	1	-1	-1	1	
17	31	0.8632512999975006	1	-1	1	1	
15	15	0.6549138000009407	1	1	-1	1	
17	30	0.9348347999984981	1	-1	1	1	
12	1	1.6984258000011323	1	-1	-1	1	
12	28	0.7529058999971312	1	-1	1	1	
11	0	1.0291749999996682	1	-1	1	1	
15	5	0.959039199999097	1	-1	-1	1	
13	29	1.0827882000012323	1	-1	1	1	
6	21	1.2810997999986284	1	1	1	1	
10	11	1.45858170000065	1	1	-1	1	
18	26	0.7788478000002215	1	-1	1	1	
14	8	0.9579514000033669	1	-1	-1	1	
14	13	1.2900637999991886	1	1	-1	1	
14	6	2.5211201999991317	1	-1	-1	1	
10	20	0.7742777999992541	1	1	1	1	
13	3	1.8660004999983357	1	-1	-1	1	
12	4	0.8494638999982271	1	-1	-1	1	
15	2	0.8819923000010021	1	-1	-1	1	
8	12	1.2491649000003235	1	1	-1	1	
16	27	1.6655944999984058	1	-1	1	1	
16	17	0.7219851999980165	1	1	-1	1	
19	14	0.8550854999994044	1	1	-1	1	
15	23	1.0150480999982392	1	1	1	1	
18	7	4.11296730000322	1	-1	-1	1	
15	16	0.8622583999967901	1	1	-1	1	
4	24	5.615725299998303	1	1	1	1	
7	9	0.9299964999991062	1	1	-1	1	
13	10	0.7509360999974888	1	1	1	1	
20	22	0.8181681999994908	1	1	1	1	
13	18	0.9152210000029299	1	1	1	1	
15	25	0.8496366999970633	1	-1	1	1	
15	19	2.9136216000006243	1	1	1	1	
16	17	1.001593100001628	1	1	-1	1	
19	14	1.3797866999993857	1	1	-1	1	
12	28	1.6635599000001093	1	-1	1	1	
16	27	0.7513018999998167	1	-1	1	1	
